"field" "id" "type" "subtype" "period" "route"
"58" "SMC-SC2" 88274 "B" "B1" 2.47456 "./data/SMC-SC2-88274.dat.gz"
"59" "SMC-SC2" 99309 "B" "B1" 1.9988 "./data/SMC-SC2-99309.dat.gz"
"60" "SMC-SC2" 84516 "C" "C1" 16.7388 "./data/SMC-SC2-84516.dat.gz"
"61" "SMC-SC2" 99333 "B" "B2" 1.4582 "./data/SMC-SC2-99333.dat.gz"
"62" "SMC-SC2" 105380 "B" "B2" 1.56609 "./data/SMC-SC2-105380.dat.gz"
"63" "SMC-SC2" 86378 "C" "C1" 10.6825 "./data/SMC-SC2-86378.dat.gz"
"64" "SMC-SC2" 101614 "B" "B2" 1.39003 "./data/SMC-SC2-101614.dat.gz"
"65" "SMC-SC2" 88311 "B" "B1" 2.40537 "./data/SMC-SC2-88311.dat.gz"
"66" "SMC-SC2" 92630 "B" "B2" 1.30514 "./data/SMC-SC2-92630.dat.gz"
"67" "SMC-SC2" 82908 "B" "B3" 2.02482 "./data/SMC-SC2-82908.dat.gz"
"68" "SMC-SC2" 103569 "B" "B1" 2.06634 "./data/SMC-SC2-103569.dat.gz"
"69" "SMC-SC2" 92589 "C" "C1" 8.84122 "./data/SMC-SC2-92589.dat.gz"
"70" "SMC-SC2" 105321 "B" "B1" 2.74747 "./data/SMC-SC2-105321.dat.gz"
"71" "SMC-SC2" 90389 "B" "B3" 1.45565 "./data/SMC-SC2-90389.dat.gz"
"72" "SMC-SC2" 99503 "B" "B2" 1.27595 "./data/SMC-SC2-99503.dat.gz"
"73" "SMC-SC2" 101500 "B" "B2" 1.47753 "./data/SMC-SC2-101500.dat.gz"
"74" "SMC-SC2" 79531 "B" "B1" 4.38857 "./data/SMC-SC2-79531.dat.gz"
"75" "SMC-SC3" 35855 "B" "B2" 1.65111 "./data/SMC-SC3-35855.dat.gz"
"76" "SMC-SC2" 101512 "B" "B2" 1.65175 "./data/SMC-SC2-101512.dat.gz"
"77" "SMC-SC2" 90387 "B" "B2" 2.31577 "./data/SMC-SC2-90387.dat.gz"
"78" "SMC-SC3" 15993 "B" "B2" 2.31584 "./data/SMC-SC3-15993.dat.gz"
"79" "SMC-SC2" 107212 "B" "B2" 1.75429 "./data/SMC-SC2-107212.dat.gz"
"80" "SMC-SC3" 43000 "B" "B2" 1.75421 "./data/SMC-SC3-43000.dat.gz"
"81" "SMC-SC3" 43007 "B" "B3" 2.1663 "./data/SMC-SC3-43007.dat"
"82" "SMC-SC3" 12578 "B" "B2" 1.29508 "./data/SMC-SC3-12578.dat.gz"
"83" "SMC-SC3" 35940 "B" "B2" 1.3125 "./data/SMC-SC3-35940.dat"
"84" "SMC-SC3" 28040 "B" "B2" 2.01134 "./data/SMC-SC3-28040.dat.gz"
"85" "SMC-SC3" 24210 "B" "B1" 2.18975 "./data/SMC-SC3-24210.dat.gz"
"86" "SMC-SC3" 5683 "B" "B2" 4.26218 "./data/SMC-SC3-5683.dat.gz"
"87" "SMC-SC3" 35959 "B" "B1" 1.34458 "./data/SMC-SC3-35959.dat.gz"
"88" "SMC-SC3" 16099 "B" "B2" 1.08234 "./data/SMC-SC3-16099.dat.gz"
"89" "SMC-SC3" 28026 "B" "B3" 3.24153 "./data/SMC-SC3-28026.dat.gz"
"90" "SMC-SC3" 32059 "B" "B1" 2.0082 "./data/SMC-SC3-32059.dat.gz"
"91" "SMC-SC3" 32039 "B" "B2" 6.30786 "./data/SMC-SC3-32039.dat"
"92" "SMC-SC3" 32057 "B" "B1" 1.51254 "./data/SMC-SC3-32057.dat.gz"
"93" "SMC-SC3" 28071 "B" "B3" 1.73099 "./data/SMC-SC3-28071.dat"
"94" "SMC-SC3" 96 "B" "B1" 1.38054 "./data/SMC-SC3-96.dat.gz"
"95" "SMC-SC3" 19968 "C" "C1" 6.22889 "./data/SMC-SC3-19968.dat"
"96" "SMC-SC3" 28166 "B" "B2" 1.61426 "./data/SMC-SC3-28166.dat.gz"
"97" "SMC-SC3" 42967 "B" "B2" 1.58771 "./data/SMC-SC3-42967.dat.gz"
"98" "SMC-SC3" 32080 "B" "B2" 1.3 "./data/SMC-SC3-32080.dat.gz"
"99" "SMC-SC3" 28018 "B" "B1" 1.85081 "./data/SMC-SC3-28018.dat.gz"
"100" "SMC-SC3" 28219 "B" "B2" 1.1884 "./data/SMC-SC3-28219.dat.gz"
"101" "SMC-SC3" 12583 "B" "B2" 1.74621 "./data/SMC-SC3-12583.dat.gz"
"102" "SMC-SC3" 2872 "C" "C1" 8.39701 "./data/SMC-SC3-2872.dat.gz"
"103" "SMC-SC3" 28042 "B" "B2" 1.99087 "./data/SMC-SC3-28042.dat.gz"
"104" "SMC-SC3" 35838 "B" "B1" 2.54151 "./data/SMC-SC3-35838.dat.gz"
"105" "SMC-SC3" 75700 "C" "C1" 15.7729 "./data/SMC-SC3-75700.dat.gz"
"106" "SMC-SC3" 71472 "B" "B2" 1.9332 "./data/SMC-SC3-71472.dat.gz"
"107" "SMC-SC3" 57557 "B" "B1" 10.7129 "./data/SMC-SC3-57557.dat.gz"
"108" "SMC-SC3" 110539 "B" "B1" 2.18159 "./data/SMC-SC3-110539.dat.gz"
"109" "SMC-SC3" 71354 "C" "C1" 10.5267 "./data/SMC-SC3-71354.dat.gz"
"110" "SMC-SC3" 88738 "C" "C2" 1.57204 "./data/SMC-SC3-88738.dat.gz"
"111" "SMC-SC3" 107366 "C" "C1" 1.44507 "./data/SMC-SC3-107366.dat.gz"
"112" "SMC-SC3" 80155 "B" "B1" 3.90947 "./data/SMC-SC3-80155.dat"
"113" "SMC-SC3" 88671 "B" "B1" 1.854 "./data/SMC-SC3-88671.dat.gz"
"114" "SMC-SC3" 96710 "C" "C1" 13.7069 "./data/SMC-SC3-96710.dat.gz"
"115" "SMC-SC3" 80215 "B" "B1" 2.43198 "./data/SMC-SC3-80215.dat"
"116" "SMC-SC3" 55117 "B" "B1" 1.37356 "./data/SMC-SC3-55117.dat.gz"
"117" "SMC-SC3" 88650 "B" "B1" 3.26238 "./data/SMC-SC3-88650.dat.gz"
"118" "SMC-SC3" 107308 "B" "B2" 1.25641 "./data/SMC-SC3-107308.dat.gz"
"119" "SMC-SC3" 96765 "B" "B1" 1.61093 "./data/SMC-SC3-96765.dat.gz"
"120" "SMC-SC3" 92891 "B" "B2" 1.37984 "./data/SMC-SC3-92891.dat.gz"
"121" "SMC-SC3" 92875 "B" "B2" 1.61079 "./data/SMC-SC3-92875.dat.gz"
"122" "SMC-SC3" 104121 "B" "B1" 1.98746 "./data/SMC-SC3-104121.dat.gz"
"123" "SMC-SC3" 100628 "B" "B2" 1.69913 "./data/SMC-SC3-100628.dat.gz"
"124" "SMC-SC3" 107339 "B" "B2" 2.40342 "./data/SMC-SC3-107339.dat.gz"
"125" "SMC-SC3" 92883 "B" "B2" 1.60311 "./data/SMC-SC3-92883.dat.gz"
"126" "SMC-SC3" 80143 "C" "C1" 10.8829 "./data/SMC-SC3-80143.dat.gz"
"127" "SMC-SC3" 71387 "B" "B1" 4.89677 "./data/SMC-SC3-71387.dat.gz"
"128" "SMC-SC3" 57549 "B" "B1" 31.9309 "./data/SMC-SC3-57549.dat.gz"
"129" "SMC-SC3" 71356 "C" "C1" 14.4288 "./data/SMC-SC3-71356.dat.gz"
"130" "SMC-SC3" 75872 "B" "B1" 2.13803 "./data/SMC-SC3-75872.dat.gz"
"131" "SMC-SC3" 80217 "B" "B1" 1.95386 "./data/SMC-SC3-80217.dat.gz"
"132" "SMC-SC3" 96761 "B" "B2" 1.72305 "./data/SMC-SC3-96761.dat.gz"
"133" "SMC-SC3" 84481 "B" "B1" 4.65421 "./data/SMC-SC3-84481.dat.gz"
"134" "SMC-SC3" 157140 "C" "C1" 1.90354 "./data/SMC-SC3-157140.dat.gz"
"135" "SMC-SC3" 130290 "B" "B2" 2.45025 "./data/SMC-SC3-130290.dat.gz"
"136" "SMC-SC3" 148864 "B" "B1" 1.67162 "./data/SMC-SC3-148864.dat.gz"
"137" "SMC-SC3" 161229 "B" "B2" 1.40078 "./data/SMC-SC3-161229.dat.gz"
"138" "SMC-SC3" 134576 "B" "B2" 3.07164 "./data/SMC-SC3-134576.dat.gz"
"139" "SMC-SC3" 139465 "B" "B2" 1.96933 "./data/SMC-SC3-139465.dat.gz"
"140" "SMC-SC3" 139412 "B" "B2" 2.47351 "./data/SMC-SC3-139412.dat.gz"
"141" "SMC-SC3" 161100 "B" "B1" 2.14759 "./data/SMC-SC3-161100.dat.gz"
"142" "SMC-SC3" 139415 "B" "B1" 2.17576 "./data/SMC-SC3-139415.dat.gz"
"143" "SMC-SC3" 161207 "C" "C1" 1.31829 "./data/SMC-SC3-161207.dat.gz"
"144" "SMC-SC3" 152913 "B" "B1" 1.90993 "./data/SMC-SC3-152913.dat.gz"
"145" "SMC-SC3" 152954 "B" "B1" 2.02656 "./data/SMC-SC3-152954.dat.gz"
"146" "SMC-SC3" 144425 "B" "B1" 1.76733 "./data/SMC-SC3-144425.dat.gz"
"147" "SMC-SC3" 172477 "B" "B2" 1.313 "./data/SMC-SC3-172477.dat.gz"
"148" "SMC-SC3" 113282 "B" "B2" 1.20545 "./data/SMC-SC3-113282.dat.gz"
"149" "SMC-SC3" 148895 "B" "B2" 1.81122 "./data/SMC-SC3-148895.dat.gz"
"150" "SMC-SC3" 130215 "C" "C1" 7.7216 "./data/SMC-SC3-130215.dat.gz"
"151" "SMC-SC3" 144499 "B" "B3" 1.47518 "./data/SMC-SC3-144499.dat.gz"
"152" "SMC-SC3" 139460 "B" "B2" 1.48916 "./data/SMC-SC3-139460.dat.gz"
"153" "SMC-SC3" 144487 "B" "B2" 1.55665 "./data/SMC-SC3-144487.dat.gz"
"154" "SMC-SC3" 152988 "B" "B1" 1.579 "./data/SMC-SC3-152988.dat.gz"
"155" "SMC-SC3" 172382 "B" "B1" 2.16006 "./data/SMC-SC3-172382.dat.gz"
"156" "SMC-SC3" 134578 "B" "B2" 1.68036 "./data/SMC-SC3-134578.dat.gz"
"157" "SMC-SC3" 172452 "B" "B1" 1.93497 "./data/SMC-SC3-172452.dat.gz"
"158" "SMC-SC3" 130223 "B" "B1" 6.30058 "./data/SMC-SC3-130223.dat.gz"
"159" "SMC-SC3" 168962 "B" "B1" 2.5775 "./data/SMC-SC3-168962.dat.gz"
"160" "SMC-SC3" 165218 "B" "B2" 1.753 "./data/SMC-SC3-165218.dat.gz"
"161" "SMC-SC3" 122139 "A" "A2" 5.79395 "./data/SMC-SC3-122139.dat.gz"
"162" "SMC-SC3" 130299 "B" "B2" 1.37192 "./data/SMC-SC3-130299.dat.gz"
"163" "SMC-SC3" 169049 "B" "B2" 1.46884 "./data/SMC-SC3-169049.dat.gz"
"164" "SMC-SC3" 169067 "B" "B2" 1.57936 "./data/SMC-SC3-169067.dat.gz"
"165" "SMC-SC3" 148748 "C" "C1" 8.06115 "./data/SMC-SC3-148748.dat.gz"
"166" "SMC-SC3" 122249 "B" "B2" 1.6385 "./data/SMC-SC3-122249.dat.gz"
"167" "SMC-SC3" 152951 "C" "C1" 1.9876 "./data/SMC-SC3-152951.dat.gz"
"168" "SMC-SC3" 139369 "B" "B2" 8.86036 "./data/SMC-SC3-139369.dat.gz"
"169" "SMC-SC3" 148798 "B" "B2" 2.02003 "./data/SMC-SC3-148798.dat.gz"
"170" "SMC-SC3" 134678 "B" "B2" 1.3388 "./data/SMC-SC3-134678.dat.gz"
"171" "SMC-SC3" 144529 "B" "B2" 1.2947 "./data/SMC-SC3-144529.dat.gz"
"172" "SMC-SC3" 125897 "B" "B1" 2.0563 "./data/SMC-SC3-125897.dat.gz"
"173" "SMC-SC3" 130423 "B" "B2" 1.21766 "./data/SMC-SC3-130423.dat"
"174" "SMC-SC3" 172465 "B" "B2" 1.67772 "./data/SMC-SC3-172465.dat.gz"
"175" "SMC-SC3" 139563 "B" "B2" 1.87848 "./data/SMC-SC3-139563.dat.gz"
"176" "SMC-SC3" 213132 "B" "B2" 3.2184 "./data/SMC-SC3-213132.dat.gz"
"177" "SMC-SC3" 202934 "B" "B2" 1.40272 "./data/SMC-SC3-202934.dat.gz"
"178" "SMC-SC3" 178185 "B" "B2" 3.04334 "./data/SMC-SC3-178185.dat.gz"
"179" "SMC-SC3" 198018 "B" "B2" 1.58062 "./data/SMC-SC3-198018.dat.gz"
"180" "SMC-SC3" 197915 "C" "C1" 9.14502 "./data/SMC-SC3-197915.dat.gz"
"181" "SMC-SC3" 189129 "C" "C1" 8.67071 "./data/SMC-SC3-189129.dat.gz"
"182" "SMC-SC3" 202785 "B" "B2" 2.74444 "./data/SMC-SC3-202785.dat.gz"
"183" "SMC-SC3" 202766 "B" "B1" 4.34088 "./data/SMC-SC3-202766.dat.gz"
"184" "SMC-SC3" 202734 "B" "B1" 4.51151 "./data/SMC-SC3-202734.dat.gz"
"185" "SMC-SC3" 197911 "C" "C1" 10.4868 "./data/SMC-SC3-197911.dat.gz"
"186" "SMC-SC3" 208529 "B" "B1" 2.19605 "./data/SMC-SC3-208529.dat.gz"
"187" "SMC-SC3" 221614 "B" "B2" 1.73213 "./data/SMC-SC3-221614.dat.gz"
"188" "SMC-SC3" 226093 "B" "B1" 1.67881 "./data/SMC-SC3-226093.dat.gz"
"189" "SMC-SC3" 198021 "B" "B2" 1.64819 "./data/SMC-SC3-198021.dat.gz"
"190" "SMC-SC3" 198087 "B" "B2" 1.68551 "./data/SMC-SC3-198087.dat.gz"
"191" "SMC-SC3" 208570 "B" "B2" 1.24114 "./data/SMC-SC3-208570.dat.gz"
"192" "SMC-SC3" 226219 "B" "B2" 1.42663 "./data/SMC-SC3-226219.dat.gz"
"193" "SMC-SC3" 226065 "B" "B2" 1.72137 "./data/SMC-SC3-226065.dat.gz"
"194" "SMC-SC3" 197972 "B" "B2" 1.8591 "./data/SMC-SC3-197972.dat.gz"
"195" "SMC-SC3" 185073 "B" "B1" 1.24404 "./data/SMC-SC3-185073.dat.gz"
"196" "SMC-SC3" 226072 "B" "B2" 1.77932 "./data/SMC-SC3-226072.dat.gz"
"197" "SMC-SC3" 208462 "B" "B3" 1.71896 "./data/SMC-SC3-208462.dat.gz"
"198" "SMC-SC3" 202853 "B" "B1" 2.5992 "./data/SMC-SC3-202853.dat.gz"
"199" "SMC-SC3" 234693 "B" "B2" 1.24001 "./data/SMC-SC3-234693.dat.gz"
"200" "SMC-SC3" 184987 "B" "B2" 1.59255 "./data/SMC-SC3-184987.dat.gz"
"201" "SMC-SC3" 202765 "B" "B1" 4.50592 "./data/SMC-SC3-202765.dat.gz"
"202" "SMC-SC3" 230499 "B" "B1" 1.91477 "./data/SMC-SC3-230499.dat.gz"
"203" "SMC-SC3" 213197 "B" "B2" 1.86927 "./data/SMC-SC3-213197.dat.gz"
"204" "SMC-SC3" 184934 "B" "B1" 2.29836 "./data/SMC-SC3-184934.dat.gz"
"205" "SMC-SC3" 202913 "B" "B1" 1.93489 "./data/SMC-SC3-202913.dat.gz"
"206" "SMC-SC3" 178269 "B" "B2" 1.6175 "./data/SMC-SC3-178269.dat.gz"
"207" "SMC-SC4" 62 "B" "B2" 1.61756 "./data/SMC-SC4-62.dat.gz"
"208" "SMC-SC4" 11348 "B" "B2" 1.54752 "./data/SMC-SC4-11348.dat.gz"
"209" "SMC-SC3" 198055 "B" "B1" 1.54745 "./data/SMC-SC3-198055.dat.gz"
"210" "SMC-SC4" 18836 "B" "B2" 1.43799 "./data/SMC-SC4-18836.dat.gz"
"211" "SMC-SC3" 202810 "B" "B2" 1.43797 "./data/SMC-SC3-202810.dat.gz"
"212" "SMC-SC3" 217715 "B" "B2" 1.45733 "./data/SMC-SC3-217715.dat.gz"
"213" "SMC-SC3" 221613 "B" "B2" 1.82522 "./data/SMC-SC3-221613.dat.gz"
"214" "SMC-SC3" 217694 "B" "B2" 1.57688 "./data/SMC-SC3-217694.dat.gz"
"215" "SMC-SC4" 29283 "B" "B2" 1.57688 "./data/SMC-SC4-29283.dat.gz"
"216" "SMC-SC4" 14944 "B" "B3" 1.21115 "./data/SMC-SC4-14944.dat.gz"
"217" "SMC-SC3" 202971 "B" "B3" 1.2111 "./data/SMC-SC3-202971.dat.gz"
"218" "SMC-SC4" 18792 "B" "B2" 3.91113 "./data/SMC-SC4-18792.dat.gz"
"219" "SMC-SC3" 208364 "B" "B1" 3.91101 "./data/SMC-SC3-208364.dat.gz"
"220" "SMC-SC4" 22703 "B" "B2" 1.68695 "./data/SMC-SC4-22703.dat.gz"
"221" "SMC-SC3" 213116 "B" "B3" 1.68691 "./data/SMC-SC3-213116.dat.gz"
"222" "SMC-SC3" 213150 "B" "B1" 2.24357 "./data/SMC-SC3-213150.dat.gz"
"223" "SMC-SC4" 26050 "B" "B1" 2.24353 "./data/SMC-SC4-26050.dat.gz"
"224" "SMC-SC3" 189247 "B" "B2" 1.28523 "./data/SMC-SC3-189247.dat.gz"
"225" "SMC-SC4" 5277 "B" "B2" 1.2853 "./data/SMC-SC4-5277.dat.gz"
"226" "SMC-SC4" 8523 "B" "B2" 1.58978 "./data/SMC-SC4-8523.dat.gz"
"227" "SMC-SC4" 29292 "B" "B1" 1.82144 "./data/SMC-SC4-29292.dat.gz"
"228" "SMC-SC4" 14937 "B" "B2" 1.7153 "./data/SMC-SC4-14937.dat.gz"
"229" "SMC-SC4" 35704 "B" "B2" 1.56414 "./data/SMC-SC4-35704.dat.gz"
"230" "SMC-SC4" 38956 "B" "B2" 1.26389 "./data/SMC-SC4-38956.dat.gz"
"231" "SMC-SC4" 58 "B" "B1" 2.15394 "./data/SMC-SC4-58.dat.gz"
"232" "SMC-SC4" 18845 "B" "B1" 1.84247 "./data/SMC-SC4-18845.dat.gz"
"233" "SMC-SC4" 11354 "B" "B2" 2.10623 "./data/SMC-SC4-11354.dat.gz"
"234" "SMC-SC4" 38887 "B" "B1" 1.91467 "./data/SMC-SC4-38887.dat.gz"
"235" "SMC-SC4" 8213 "C" "C1" 8.84926 "./data/SMC-SC4-8213.dat.gz"
"236" "SMC-SC4" 84 "B" "B2" 1.50491 "./data/SMC-SC4-84.dat.gz"
"237" "SMC-SC4" 38857 "B" "B2" 1.63449 "./data/SMC-SC4-38857.dat.gz"
"238" "SMC-SC4" 26095 "B" "B2" 1.71492 "./data/SMC-SC4-26095.dat.gz"
"239" "SMC-SC4" 32504 "B" "B2" 1.92764 "./data/SMC-SC4-32504.dat.gz"
"240" "SMC-SC4" 35959 "B" "B2" 0.96536 "./data/SMC-SC4-35959.dat.gz"
"241" "SMC-SC4" 22698 "B" "B2" 2.26882 "./data/SMC-SC4-22698.dat.gz"
"242" "SMC-SC4" 2200 "C" "C1" 8.03958 "./data/SMC-SC4-2200.dat.gz"
"243" "SMC-SC4" 22683 "B" "B2" 1.84709 "./data/SMC-SC4-22683.dat.gz"
"244" "SMC-SC4" 22619 "B" "B1" 5.63863 "./data/SMC-SC4-22619.dat.gz"
"245" "SMC-SC4" 22764 "B" "B2" 1.26986 "./data/SMC-SC4-22764.dat.gz"
"246" "SMC-SC4" 35657 "B" "B2" 2.29921 "./data/SMC-SC4-35657.dat.gz"
"247" "SMC-SC4" 8541 "B" "B2" 1.20675 "./data/SMC-SC4-8541.dat.gz"
"248" "SMC-SC4" 22663 "B" "B2" 2.12377 "./data/SMC-SC4-22663.dat.gz"
"249" "SMC-SC4" 38845 "B" "B1" 3.56974 "./data/SMC-SC4-38845.dat.gz"
"250" "SMC-SC4" 35713 "B" "B1" 2.07505 "./data/SMC-SC4-35713.dat.gz"
"251" "SMC-SC4" 26096 "B" "B2" 1.7293 "./data/SMC-SC4-26096.dat.gz"
"252" "SMC-SC4" 26068 "B" "B1" 2.45921 "./data/SMC-SC4-26068.dat.gz"
"253" "SMC-SC4" 29257 "B" "B1" 1.8966 "./data/SMC-SC4-29257.dat.gz"
"254" "SMC-SC4" 41965 "B" "B1" 1.86388 "./data/SMC-SC4-41965.dat.gz"
"255" "SMC-SC4" 22705 "B" "B2" 1.70312 "./data/SMC-SC4-22705.dat.gz"
"256" "SMC-SC4" 5245 "B" "B1" 2.12521 "./data/SMC-SC4-5245.dat.gz"
"257" "SMC-SC4" 11250 "C" "C1" 5.66227 "./data/SMC-SC4-11250.dat.gz"
"258" "SMC-SC4" 47131 "B" "B2" 1.15454 "./data/SMC-SC4-47131.dat.gz"
"259" "SMC-SC4" 49178 "B" "B2" 3.68319 "./data/SMC-SC4-49178.dat.gz"
"260" "SMC-SC4" 5238 "B" "B2" 2.96573 "./data/SMC-SC4-5238.dat.gz"
"261" "SMC-SC4" 56826 "B" "B2" 1.84463 "./data/SMC-SC4-56826.dat.gz"
"262" "SMC-SC4" 71616 "B" "B1" 2.29429 "./data/SMC-SC4-71616.dat.gz"
"263" "SMC-SC4" 94433 "B" "B3" 0.95084 "./data/SMC-SC4-94433.dat.gz"
"264" "SMC-SC4" 56758 "C" "C1" 8.49275 "./data/SMC-SC4-56758.dat.gz"
"265" "SMC-SC4" 67172 "B" "B1" 4.98792 "./data/SMC-SC4-67172.dat.gz"
"266" "SMC-SC4" 60168 "B" "B2" 2.06415 "./data/SMC-SC4-60168.dat.gz"
"267" "SMC-SC4" 71623 "B" "B1" 1.74003 "./data/SMC-SC4-71623.dat.gz"
"268" "SMC-SC4" 75288 "B" "B2" 2.29777 "./data/SMC-SC4-75288.dat.gz"
"269" "SMC-SC4" 82063 "B" "B2" 2.00789 "./data/SMC-SC4-82063.dat.gz"
"270" "SMC-SC4" 63473 "B" "B2" 1.55152 "./data/SMC-SC4-63473.dat.gz"
"271" "SMC-SC4" 51383 "B" "B2" 1.66794 "./data/SMC-SC4-51383.dat.gz"
"272" "SMC-SC4" 85269 "B" "B1" 2.01 "./data/SMC-SC4-85269.dat.gz"
"273" "SMC-SC4" 51413 "B" "B1" 1.86099 "./data/SMC-SC4-51413.dat.gz"
"274" "SMC-SC4" 85312 "B" "B1" 1.97035 "./data/SMC-SC4-85312.dat.gz"
"275" "SMC-SC4" 57046 "B" "B2" 2.07598 "./data/SMC-SC4-57046.dat.gz"
